XO.ET18 -155.788000  58.545800    60.0
XO.ET19 -155.439400  58.368600   322.0
XO.ET20 -154.971600  58.130400   965.5
XO.KD00 -152.448400  57.441300    98.0
XO.KD01 -152.437500  57.640100    79.0
XO.KD02 -152.657500  57.861800    57.0
XO.KD04 -152.849700  57.304200    34.0
XO.KD05 -153.409900  57.871700    38.0
XO.KD12 -154.612200  57.313000    90.0
XO.KS03 -152.235300  57.613300    45.0
XO.KS11 -153.087900  57.127700    39.0
XO.KS13 -154.172900  56.947200    45.0
XO.KT06 -154.004100  57.651700    46.0
XO.KT07 -153.981400  57.537500    38.0
XO.KT08 -153.814900  57.443000    41.0
XO.KT09 -153.794500  57.348000    47.0
XO.KT10 -153.660000  57.295000    43.0
XO.LA21 -155.073500  54.369100 -5113.0
XO.LA23 -155.237600  54.916300 -3977.0
XO.LA25 -155.940800  54.890100 -2622.0
XO.LA26 -156.256100  54.512900 -5103.0
XO.LA28 -156.603000  54.898300 -1852.0
XO.LA29 -157.370500  54.291800 -4408.0
XO.LA30 -157.420300  54.672700 -1564.0
XO.LA32 -157.852200  54.498200 -1595.0
XO.LA33 -158.114300  54.152800 -4478.0
XO.LA34 -158.588100  54.044900 -4612.0
XO.LA39 -151.001100  56.882700 -1628.0
XO.LD35 -158.872000  54.249500 -1993.0
XO.LD36 -155.752500  55.252400  -935.0
XO.LD37 -151.100500  55.676400 -4826.0
XO.LD38 -151.675600  55.164900 -4043.0
XO.LD40 -152.410200  56.303700 -1055.0
XO.LD41 -153.407400  54.521900 -4284.0
XO.LD44 -159.773600  53.830200 -4675.0
XO.LD45 -159.882900  54.102500 -2019.0
XO.LT01 -152.522800  56.775600  -156.0
XO.LT02 -153.261100  56.693200  -152.0
XO.LT03 -154.166500  57.866800  -202.0
XO.LT04 -154.444600  56.111800  -157.0
XO.LT05 -155.346900  56.823000  -236.0
XO.LT06 -155.997900  56.216700  -225.0
XO.LT07 -156.119900  56.671200  -262.0
XO.LT08 -156.597500  55.588300  -246.0
XO.LT09 -157.138900  55.121500  -151.0
XO.LT10 -157.325100  55.625100   -98.0
XO.LT11 -157.335500  56.120200  -162.0
XO.LT12 -157.778000  55.207000   -83.0
XO.LT13 -158.346600  54.843900  -203.0
XO.LT14 -158.030200  55.699800  -125.0
XO.LT15 -158.359800  55.200200  -167.0
XO.LT16 -158.601300  55.491600  -125.0
XO.LT17 -160.201600  54.567700  -114.0
XO.LT18 -160.581400  54.740000  -115.0
XO.LT20 -161.374600  54.800200  -150.0
XO.WD46 -149.703732  55.521393 -4349.0
XO.WD47 -150.444792  54.951352 -3999.0
XO.WD48 -151.731343  56.627365 -1324.0
XO.WD49 -151.899470  54.399083 -4091.0
XO.WD50 -152.391763  55.449527 -4986.6
XO.WD51 -152.771768  55.905087 -4361.0
XO.WD52 -159.346215  54.046622 -2564.0
XO.WD53 -153.422908  53.779448 -4646.0
XO.WD54 -149.066665  56.331433 -4520.0
XO.WD55 -153.662817  55.761625 -1284.0
XO.WD56 -154.047078  55.322267 -4060.0
XO.WD57 -154.434305  54.736387 -5053.0
XO.WD58 -155.035345  53.906227 -4493.0
XO.WD59 -155.799387  53.383713 -4550.0
XO.WD60 -156.579823  52.644867 -4519.0
XO.WD61 -156.868282  54.647613 -2067.0
XO.WD62 -157.331882  53.361962 -4626.0
XO.WD63 -158.093575  52.590072 -4656.0
XO.WD64 -158.691562  52.001077 -4754.0
XO.WD65 -158.912380  52.899057 -4718.0
XO.WD66 -159.617565  53.314520 -4941.0
XO.WD67 -160.035832  52.162563 -4652.0
XO.WD68 -160.081145  52.917603 -4715.0
XO.WD69 -160.342890  53.782065 -3896.0
XO.WD70 -151.234407  56.541073 -3253.0
XO.WP24 -158.660300  56.924100    43.0
XO.WP25 -159.756300  56.453000    47.0
XO.WP30 -161.201400  56.001000    41.0
XO.WS26 -159.143100  55.912300    36.0
XO.WS27 -159.913600  55.223600    41.0
XO.WS28 -162.299200  55.074600    45.0
XO.WS71 -153.078922  56.156950 -1554.8
XO.WS72 -151.810630  56.257748 -4141.7
XO.WS73 -158.513277  54.419958 -2132.9
XO.WS74 -159.361628  54.369193  -902.9
XO.WS75 -160.256908  54.179630 -1108.9
